CID,Time,Text,Platform,
UgzRVZiuFJQkqBk3QGB4AaABAg,1 week ago,Very nice!,YouTube,
UgwUpGfpUdcrymer-5x4AaABAg,1 week ago,"I’m emotionally attached with this beautiful song and history, Wonderful, Thanks and God bless to all",YouTube,
Ugx7bszmrZogtEPEG1t4AaABAg,1 week ago,What a wonderful song. Brought tears to this crusty old curmegon veteran.,YouTube,
UgxNAM6hizrIFKhFE4R4AaABAg,3 weeks ago,AWESOME!!! Ya'll rock!,YouTube,
UgweifHgwhXLS38_1dN4AaABAg,1 month ago,COL McInvale was one of my old instructors . Never had a clue the man could sing so well!!!,YouTube,
UgweifHgwhXLS38_1dN4AaABAg.8i-mMkyXB_s8i06AXFBPU5,1 month ago,He's full of surprises!,YouTube,
UgxRwQ_kEOnM8NVy10N4AaABAg,1 month ago,"this left me emotional,god bless our fathers",YouTube,
UgyqtYvtaUuGiBLaw8J4AaABAg,1 month ago (edited),"Well done, folks! God bless you and all you do for us. You make us proud each and every day!",YouTube,
UgyqtYvtaUuGiBLaw8J4AaABAg.8hiMsTccWOg8i06CdC2ozL,1 month ago,Thank you!,YouTube,
Ugx6SmDTlNLMmw_2vFV4AaABAg,1 month ago,"My Old Man was a DDay Vet, one of America's Greatest Generation, my hero, Awesome tribute, lest we never forget.",YouTube,
Ugx6SmDTlNLMmw_2vFV4AaABAg.8hfk_HucobJ8hfq3dkzYz8,1 month ago,Frank ciurca so glad you liked it.,YouTube,
Ugx6SmDTlNLMmw_2vFV4AaABAg.8hfk_HucobJ8hjBKV_YMGt,1 month ago,"I hope you guys tryout for America's Got Talent, as a singer myself, you have serious talent.",YouTube,
UgyswjJHIFxQEZuh-5x4AaABAg,1 month ago,Really wish I still had my Daddy. Miss him more as time goes by.,YouTube,
Ugwpeuz6wXw9xVPbFLR4AaABAg,1 month ago,Brings tears to my eyes,YouTube,
Ugwpeuz6wXw9xVPbFLR4AaABAg.8hbLZjVhoUz8hbXYLhoBhp,1 month ago,Kathy Murphy so glad the music moved you.,YouTube,
UgyLgeE3P4cS9zPQgZR4AaABAg,1 month ago,"I miss my father a lot, happy Father’s Day Dad😢",YouTube,
UgzNIi2h3lkXd3bT68B4AaABAg,1 month ago,God Bless you. My father is my hero !!!!,YouTube,
UgzNIi2h3lkXd3bT68B4AaABAg.8hV0DjNhbsy8hV1Mdhs9o3,1 month ago,Jediael Keitel Soares Awesome!,YouTube,
Ugwu55XLRTLkrXjMOB54AaABAg,1 month ago (edited),Fight against parental alienation!,YouTube,
UgwoPypIa1y5I9thEx14AaABAg,1 month ago,Thank you.,YouTube,
UgwoPypIa1y5I9thEx14AaABAg.8hTsZXr-dwZ8hV1JdyTFZw,1 month ago,Carol Tuttle you are welcome! Glad you liked it.,YouTube,
UgznxWV4-BHeU4SR4Up4AaABAg,1 month ago,Muito bom !!! É sempre maravilhoso ver um trabalho tão bem feito !!!,YouTube,
Ugy63ZvjiGky7RnsR2J4AaABAg,1 month ago,God Bless you !!!,YouTube,
1.02178626316114E+018,2018-07-24 15:56 +0000,"Need some fresh tunes for your playlist? Check out this new music from our Bicentennial Gala, composed by band saxophone player Master Sgt. Michael Reifenberg and inspired by the bugle call Taps.

""24 Notes,"" performed by Staff Sgt. Emily McAleesejergins

https://t.co/4meL06vmgy",Twitter,
1.02144751215729E+018,2018-07-23 17:30 +0000,"We're taking a break from our #TrophyPoint series this week, but that doesn't mean that #MusicMonday is off! Check out our 2017 faves—the perfect soundtrack to power you through the workday.

We'll see you again on Aug 4 to dance w/ @BennyHavensBand !💃

https://t.co/TWMf733Ng6",Twitter,
1.0210776113536E+018,2018-07-22 17:00 +0000,Keeping a steady beat every day of the week at @WestPoint_USMA (even on the weekend!) https://t.co/MimxY79iYi,Twitter,
1.02081322380792E+018,2018-07-21 23:30 +0000,"The show's starting — watch #live NOW from #TrophyPoint! Music from #StarWars, #Superman, #JurassicPark, and more.

While you watch, chime in with your favorite scenes and quotes from the featured movies!

https://t.co/7VHtlQqYcv",Twitter,
1.02080999956256E+018,2018-07-21 23:17 +0000,Tonight’s #TrophyPoint concert program! https://t.co/kSsZZzSzaH,Twitter,
1.02070990629756E+018,2018-07-21 16:39 +0000,"Due to the threat of inclement weather, tonight’s #TrophyPoint performance will be moved indoors to Eisenhower Hall Theatre at @WestPoint_USMA. Be sure to join us at 7:30 for music from #StarWars, #IndianaJones and more. Or watch online https://t.co/7VHtlQqYcv",Twitter,
1.02038740981554E+018,2018-07-20 19:18 +0000,"Whether you're w/ us @ #TrophyPoint or off in a galaxy far, far away, don't miss this concert of magical movie music TOMORROW @ 7:30!

Join us at #TrophyPoint: https://t.co/9UVrTXgOun

Or click here to set a livestream reminder: https://t.co/7VHtlQqYcv",Twitter,
1.02002075617928E+018,2018-07-19 19:01 +0000,"#ThrowbackThursday — marching on the Plain at @WestPoint_USMA, May 21st, 1959.

Check https://t.co/d1JnsnP7bo for a then vs. now! https://t.co/lkp3tidkeu",Twitter,
1.02001903426646E+018,2018-07-19 18:54 +0000,"@Luvs40hcups In the event of rain, the show will be moved indoors to Eisenhower Hall Theatre.",Twitter,
1.02001868641609E+018,2018-07-19 18:53 +0000,@Kimcase07333006 @WestPoint_USMA Awesome! We’re very thankful for his service 🇺🇸,Twitter,
1.0196431576115E+018,2018-07-18 18:00 +0000,"This Saturday at #TrophyPoint, we're heading to the movies w/ music from film composer John Williams. We provide the soundtrack, so you can sit back &amp; let the music take you to a galaxy far, far away.

More info &amp; RSVP: https://t.co/QtwDydmrLV

Livestream: https://t.co/7VHtlQqYcv https://t.co/Fjz03MmAGy",Twitter,
1.01936533267748E+018,2018-07-17 23:36 +0000,@VossOnlinetime All great choices!,Twitter,
1.01936526505689E+018,2018-07-17 23:36 +0000,@KenzieeeClark @WestPoint_USMA A great choice!,Twitter,
1.01931488850468E+018,2018-07-17 20:16 +0000,"What's your favorite movie music? 🎶

We're dusting off a few old faves for this Saturday's #TrophyPoint concert, featuring the music of famed film composer John Williams.

Click here for more info and RSVP: https://t.co/9UVrTXgOun https://t.co/WMiUsNlIhf",Twitter,
1.01895899391248E+018,2018-07-16 20:42 +0000,"#MotivationMonday with @WestPoint_USMA's newest cadets (and check out that soundtrack 😉):

https://t.co/0VtdIDgUBU",Twitter,
1.01855586031704E+018,2018-07-15 18:00 +0000,"#SundaySalute — Tell us your branch and when you served. Thank you for your service!

#ArmyStrong at @WestPoint_USMA https://t.co/53J3FIWdJD",Twitter,
1.01833696840768E+018,2018-07-15 03:30 +0000,@ClarinetNow Thanks!,Twitter,
1.01825390621908E+018,2018-07-14 22:00 +0000,"We’re going #LIVE from #TrophyPoint for Kids’ Night in 30 minutes! Join us for Story Time w/ Quintette 7, feat. zany zoo animals, silly singalongs &amp; all your favorite children’s stories set to quirky jazz music. 

Watch here: 
https://t.co/ZXQuwh3e2q https://t.co/khDFqHTJxm",Twitter,
1.0178462451745E+018,2018-07-13 19:00 +0000,"Marching into Kids' Night weekend like...

Don't miss Story Time tomorrow at #TrophyPoint!

🎺  Instrument petting zoo
📖 Classic children's stories w/ exciting music
🎤 Singalongs
🎬 Outdoor screening of Disney's ""Coco""

TOMORROW, 6pm

More info &amp; RSVP: https://t.co/UlyIDpzcza https://t.co/7bpNyj4wxe",Twitter,
1.01748416075425E+018,2018-07-12 19:01 +0000,"#TBT — can you believe it's been less than one week since this amazing evening at #TrophyPoint?

Check out the full photo album on our Flickr page: https://t.co/OuqPlaLnT0

@WestPointParent https://t.co/mXzJp8pAOl",Twitter,
