CID,Time,Text,Platform
UgzRVZiuFJQkqBk3QGB4AaABAg,1 week ago,Very nice!,YouTube
UgwUpGfpUdcrymer-5x4AaABAg,1 week ago,"I’m emotionally attached with this beautiful song and history, Wonderful, Thanks and God bless to all",YouTube
Ugx7bszmrZogtEPEG1t4AaABAg,1 week ago,What a wonderful song. Brought tears to this crusty old curmegon veteran.,YouTube
UgxNAM6hizrIFKhFE4R4AaABAg,3 weeks ago,AWESOME!!! Ya'll rock!,YouTube
UgweifHgwhXLS38_1dN4AaABAg,1 month ago,COL McInvale was one of my old instructors . Never had a clue the man could sing so well!!!,YouTube
UgweifHgwhXLS38_1dN4AaABAg.8i-mMkyXB_s8i06AXFBPU5,1 month ago,He's full of surprises!,YouTube
UgxRwQ_kEOnM8NVy10N4AaABAg,1 month ago,"this left me emotional,god bless our fathers",YouTube
UgyqtYvtaUuGiBLaw8J4AaABAg,1 month ago (edited),"Well done, folks! God bless you and all you do for us. You make us proud each and every day!",YouTube
UgyqtYvtaUuGiBLaw8J4AaABAg.8hiMsTccWOg8i06CdC2ozL,1 month ago,Thank you!,YouTube
Ugx6SmDTlNLMmw_2vFV4AaABAg,1 month ago,"My Old Man was a DDay Vet, one of America's Greatest Generation, my hero, Awesome tribute, lest we never forget.",YouTube
Ugx6SmDTlNLMmw_2vFV4AaABAg.8hfk_HucobJ8hfq3dkzYz8,1 month ago,Frank ciurca so glad you liked it.,YouTube
Ugx6SmDTlNLMmw_2vFV4AaABAg.8hfk_HucobJ8hjBKV_YMGt,1 month ago,"I hope you guys tryout for America's Got Talent, as a singer myself, you have serious talent.",YouTube
UgyswjJHIFxQEZuh-5x4AaABAg,1 month ago,Really wish I still had my Daddy. Miss him more as time goes by.,YouTube
Ugwpeuz6wXw9xVPbFLR4AaABAg,1 month ago,Brings tears to my eyes,YouTube
Ugwpeuz6wXw9xVPbFLR4AaABAg.8hbLZjVhoUz8hbXYLhoBhp,1 month ago,Kathy Murphy so glad the music moved you.,YouTube
UgyLgeE3P4cS9zPQgZR4AaABAg,1 month ago,"I miss my father a lot, happy Father’s Day Dad😢",YouTube
UgzNIi2h3lkXd3bT68B4AaABAg,1 month ago,God Bless you. My father is my hero !!!!,YouTube
UgzNIi2h3lkXd3bT68B4AaABAg.8hV0DjNhbsy8hV1Mdhs9o3,1 month ago,Jediael Keitel Soares Awesome!,YouTube
Ugwu55XLRTLkrXjMOB54AaABAg,1 month ago (edited),Fight against parental alienation!,YouTube
UgwoPypIa1y5I9thEx14AaABAg,1 month ago,Thank you.,YouTube
UgwoPypIa1y5I9thEx14AaABAg.8hTsZXr-dwZ8hV1JdyTFZw,1 month ago,Carol Tuttle you are welcome! Glad you liked it.,YouTube
UgznxWV4-BHeU4SR4Up4AaABAg,1 month ago,Muito bom !!! É sempre maravilhoso ver um trabalho tão bem feito !!!,YouTube
Ugy63ZvjiGky7RnsR2J4AaABAg,1 month ago,God Bless you !!!,YouTube
